"affy_hg_u133_plus_2","hgnc_symbol","gene_biotype","GSM1130907_Joo091-HG-U133Plus2.cel.gz","GSM1130908_Joo092-HG-U133Plus2.cel.gz","GSM1130909_Joo093-HG-U133Plus2.cel.gz","GSM1130910_Joo094-HG-U133Plus2.cel.gz","GSM1130911_Joo095-HG-U133Plus2.cel.gz","GSM1130912_Joo096-HG-U133Plus2.cel.gz","GSM1130913_Joo097-HG-U133Plus2.cel.gz","GSM1130914_Joo098-HG-U133Plus2.cel.gz","GSM1130915_Joo099-HG-U133Plus2.cel.gz","GSM1130916_Joo100-HG-U133Plus2.cel.gz","GSM1130917_Joo101-HG-U133Plus2.cel.gz","GSM1130918_Joo102-HG-U133Plus2.cel.gz","GSM1130919_Joo109-HG-U133Plus2.cel.gz","GSM1130920_Joo110-HG-U133Plus2.cel.gz","GSM1130921_Joo111-HG-U133Plus2.cel.gz","GSM1130922_Joo113-HG-U133Plus2.cel.gz","GSM1130923_Joo114-HG-U133Plus2.cel.gz","GSM1130924_Joo115-HG-U133Plus2.cel.gz","GSM1130925_Joo116-HG-U133Plus2.cel.gz","GSM1130926_Joo118-HG-U133Plus2.cel.gz","GSM1130927_Joo119-HG-U133Plus2.cel.gz","GSM1130928_Joo121-HG-U133Plus2.cel.gz","GSM1130929_Joo122-HG-U133Plus2.cel.gz","GSM1130930_Joo123-HG-U133Plus2.cel.gz","GSM1130931_Joo124-HG-U133Plus2.cel.gz","GSM1130932_Joo125-HG-U133Plus2.cel.gz","GSM1130933_Joo126-HG-U133Plus2.cel.gz","GSM1130934_Joo127-HG-U133Plus2.cel.gz","GSM1130935_Joo128-HG-U133Plus2.cel.gz","GSM1130936_Joo129-HG-U133Plus2.cel.gz","GSM1130937_Joo130-HG-U133Plus2.cel.gz","GSM1130938_Joo131-HG-U133Plus2.cel.gz","GSM1130939_Joo132-HG-U133Plus2.cel.gz","GSM1130940_Joo133-HG-U133Plus2.cel.gz","GSM1130941_Joo135-HG-U133Plus2.cel.gz","GSM1130942_Joo137-HG-U133Plus2.cel.gz","GSM1130943_Joo138-HG-U133Plus2.cel.gz","GSM1130944_Joo139-HG-U133Plus2.cel.gz","GSM1130945_Joo140-HG-U133Plus2.cel.gz","GSM1130946_Joo141-HG-U133Plus2.cel.gz","GSM1130947_Joo142-HG-U133Plus2.cel.gz","GSM1130948_Joo143-HG-U133Plus2.cel.gz","GSM1130949_Joo144-HG-U133Plus2.cel.gz","GSM1130950_Joo145-HG-U133Plus2.cel.gz","GSM1130951_Joo146-HG-U133Plus2.cel.gz","GSM1130952_Joo147-HG-U133Plus2.cel.gz","GSM1130953_Joo148-HG-U133Plus2.cel.gz","GSM1130954_Joo149-HG-U133Plus2.cel.gz","GSM1130955_Joo150-HG-U133Plus2.cel.gz","GSM1130956_Joo151-HG-U133Plus2.cel.gz","GSM1130957_Joo152-HG-U133Plus2.cel.gz","GSM1130958_Joo153-HG-U133Plus2.cel.gz","GSM1130959_Joo154-HG-U133Plus2.cel.gz","GSM1130960_Joo155-HG-U133Plus2.cel.gz","GSM1130961_Joo156-HG-U133Plus2.cel.gz","label"
"215559_at","ABCC6","protein_coding",3.38797206153537,3.19703446395688,3.06600321383102,3.2701803993785,3.48368242894633,3.48716244274118,2.90178549220605,3.13834906274789,3.0269513739809,3.33307259037114,3.07228187310824,3.51012649963768,3.23201696642268,3.26478647911798,3.44071880415986,3.2766936702011,3.61766331778751,3.43270210833381,3.42175210529462,3.38295761236074,3.53395231540585,3.66086729849704,3.21341575742321,3.44205909339575,3.28174452594185,3.34073286711443,3.44827965568498,2.9294039066428,3.43749690664683,3.35086866968575,3.3986877913876,3.64595241017343,3.35856527012091,3.6054706451185,3.53045221806467,3.36609418383596,3.87221131503548,3.61558825321854,3.32139226903543,3.180961483944,3.18998811543904,3.59225432582555,3.28070111386941,3.45908382603665,3.76229302459898,3.283778977977,3.57574253713119,3.38295761236074,3.41869052815274,3.12506471063439,3.24933004521051,3.41300965126856,3.32548176970252,3.45899162761923,3.28980871301188,"1"
"214033_at","ABCC6","protein_coding",4.99189082431333,5.13162555193781,4.71463247605517,4.88083957259746,4.84494228932869,4.83355034727854,4.63556982194665,4.69014562562041,4.58375682967574,4.78328403764877,4.84161661068211,4.81507771124867,4.79403628573269,4.64745303873538,4.91760330574778,4.67407682299737,4.91328554063921,4.74730527191825,4.95282572798412,4.70545561294551,4.48125397618707,5.17786953679352,5.03704590855412,4.86477669151923,4.76612347236053,4.80159383298367,4.70192941486594,4.77990261168421,4.67730815736957,4.66288497347761,4.91101961329788,5.21494275574909,4.64899155753119,4.68503786147777,5.00974418423699,4.69297675726175,5.6984538191109,5.16591134999612,4.7581781607693,4.74314464036477,4.7746033598681,5.10025805483867,4.64929204290203,4.91969470550035,4.92876872487741,4.87379355482758,5.06862080988991,4.78916574504185,4.75465643507782,4.85957176217494,4.85420602692747,4.94668089476846,4.86242230577154,5.01239968814882,4.61086173268614,"1"
"208480_s_at","ABCC6","protein_coding",4.20420312263023,4.25401993883107,4.78149083190999,4.4684108186739,4.43240669280253,4.24916862616524,4.58866309272719,4.67313503137514,4.26801919144598,4.8841184827773,4.35303074692376,4.67985373509693,3.98897852313992,4.00199537959911,4.48995341167681,4.57305978463477,4.68402553533266,4.42973510359354,4.49805394242443,4.74458034284633,4.57305978463477,5.03227655891489,4.3804961984029,5.14633020405318,4.85700221941556,4.74718229623245,4.28934010803063,4.56259284126859,4.62170579564043,4.72120426045921,4.26952489608732,4.6674698418623,4.62097916482795,4.68593692857095,4.73582430422232,5.29559683599521,5.16131465398677,4.41862177308113,4.30806680898283,4.37671993260791,4.64761345036849,4.74467129210132,4.56488215301541,4.59951768504485,4.92531178949983,4.65958317167912,4.23718627452524,4.44287844366119,4.55683196214127,4.82763213509496,4.2868008428395,4.57305978463477,4.59808513673189,4.87379162058812,4.73570901575072,"1"
"207427_at","ACR","protein_coding",5.31047704058427,5.30152948719269,5.40241423015225,5.24890133089966,5.33576296302889,5.17032157222448,5.69721527648143,5.66934656185056,5.234341808395,5.69406543476416,5.39666926591605,5.68307288864494,5.39704111380669,5.26611020393913,5.75406216482998,5.32542891324705,5.64108312950642,5.31649437936487,5.63726210454256,5.61039112988651,5.45340044540517,5.43974413947186,5.45442940250501,5.64426645635903,5.4100852028199,5.33319460264708,5.21678711068009,5.24329617650225,5.29071352047332,5.33279011418614,5.43993513756422,5.44005679038032,5.14613325040622,5.78499206606527,5.50853604529324,5.62632228268251,5.7624067259252,5.44021309042989,5.51286886300971,5.54125543063959,5.48089384775847,5.70724764939202,5.54929444956296,5.78751857823947,5.5619482048895,5.56450610956405,5.47144257271924,5.73057787252367,5.31817473275131,5.08352874340803,5.39345576677774,5.31999756639035,5.2892428106129,5.45421745548313,5.74197055485281,"0"
"AFFX-HSAC07/X00351_M_at","ACTB","protein_coding",12.4560919414401,11.8771254125655,11.9713894094769,12.7260536357937,12.7039342773954,12.9015573872624,11.6629638737198,11.3766998879115,13.177826238148,11.6449086199096,12.4480054540919,11.4239360134847,12.3322875000673,12.8798973496388,11.7331204760154,12.5946506370203,12.4197658739026,13.1986286613653,12.7030636154005,12.4045370436249,12.5164683762875,12.9322169642036,12.9712291439555,12.9048076887576,12.5276063018062,12.3639667178909,12.0058191131739,12.7297581273101,12.6261251408484,12.3512719239813,12.3851872975296,11.3169616829253,11.9946611631306,11.6955854351627,12.048040533852,12.2610812626368,12.3224234811935,12.4871560171914,12.6364536692911,12.4638574637747,12.3569513718684,12.0018040903937,12.1259790749741,11.8827361995227,12.1450328715467,12.0538495622911,12.7965296583824,12.4772272412787,12.73284974513,11.9793446094967,12.83088783408,12.7228482568769,12.2528232389655,11.7559742919184,12.5764568653276,"1"
"AFFX-HSAC07/X00351_3_at","ACTB","protein_coding",13.3133213260532,13.1090337756988,13.1433187245346,13.6008231071033,13.3914321714065,13.6395673806483,12.9512337659547,12.4530291243438,13.4700823967343,12.8803804981396,13.246398016458,12.7963339123125,13.1382367273091,13.4284436738198,12.8267787787576,13.3359195152311,13.19926951517,13.5463822292057,13.2380761729177,13.115076931863,13.1115763752542,13.3156390595637,13.3557833736892,13.2809013886225,13.2982711541739,13.1959323024621,13.0118862114404,13.2936919366278,13.353468523341,13.2796877554518,13.2545813802776,12.994065772178,13.0158087343794,12.9136706174265,13.1158469971957,13.042289122901,13.1882311043507,13.1186253094808,13.2920719215646,13.1444365552955,13.0605041925488,12.9076755953976,13.1305706895861,12.9052853750927,13.1914268113339,13.2228480767595,13.45464940443,13.2827104687324,13.4006779713287,13.0140313208871,13.4280813785592,13.2994233211588,13.1172558941063,12.7673595486245,13.3151195322438,"1"
"213867_x_at","ACTB","protein_coding",12.8484263062268,12.7019159895939,12.6799956256361,13.0328597661595,12.9355300516584,13.0126553314883,12.4371222267637,12.151152105145,12.9616222237266,12.5136466781802,12.8403158624991,12.4228017275528,12.7474234587123,12.9793176868586,12.3740919668951,12.9395628688741,12.7780183738103,13.3960033504316,12.8990682799058,12.7419088186481,12.6173138051716,12.8096104396767,12.9083134336301,12.801075565913,12.8375412919899,12.8500692836686,12.5675992278683,12.899615894623,13.0341624166625,12.8779376086053,12.8836492492792,12.5452544699841,12.6686585061234,12.5918126026167,12.7928621162304,12.651613956096,12.8297832363867,12.689169330363,12.8263772992016,12.8334500127211,12.7349925131489,12.5037724055085,12.8196751034834,12.4686532563952,12.8490817861013,12.8108612555381,12.9905342626803,12.8797606083086,13.0722690261464,12.6751668069668,12.8932808080088,12.9075766548451,12.612381786815,12.1990118034763,12.9312660880261,"1"
"224594_x_at","ACTB","protein_coding",12.742129361246,12.6745255107611,12.6398910193885,12.9543432031568,12.8914866351329,12.9718836097571,12.3744656990773,12.0811315997053,12.9773916270759,12.4745467744644,12.8029550594484,12.3408985086855,12.6164368294664,12.9009704063728,12.2828793460402,12.8271239341581,12.658699218915,13.4376458198302,12.8624768791234,12.6881775216595,12.5882983609948,12.7400597850591,12.8326351195011,12.7337639508974,12.7627653756645,12.7847753299166,12.5285749249016,12.8133440564564,12.9440590444329,12.7478721463235,12.8448309077234,12.466880347772,12.5899080864134,12.4956113363173,12.6713591019859,12.67973044775,12.8237898520652,12.5884386313161,12.7528466076255,12.7924937685181,12.5482566489476,12.3742283375145,12.8213159051354,12.3963312090653,12.8068217421369,12.7160564306133,12.8863786452514,12.7742144992049,12.9253873874359,12.4797270829252,12.8147981491909,12.8117016658946,12.6110174696077,12.1486891381234,12.8555862536314,"1"
"200801_x_at","ACTB","protein_coding",13.6121350532366,13.4471915895264,13.4712695488956,13.7945063279961,13.7344760056508,13.8074413643498,13.2032832614168,12.9737511178244,13.676958761866,13.2644500310086,13.6329657966935,13.1535995309825,13.5120126587346,13.753713487739,13.1558287017606,13.7755778905587,13.5552309796747,14.0799673193346,13.70260912719,13.5480646303869,13.5267697851668,13.5904310690285,13.7215269715292,13.6664466029576,13.6518299877055,13.6062391034512,13.3552847396937,13.6947839859096,13.8371549101003,13.7042776293308,13.6724992582062,13.2885708520199,13.4625549389436,13.3478421367497,13.5690690563559,13.5407037530343,13.6467765068168,13.5262304168686,13.6478525052126,13.6189279513232,13.3801094933096,13.2644500310086,13.6339178253958,13.3104859320375,13.5843364557182,13.5517524932277,13.8245535783237,13.6477147357578,13.7488986207754,13.4006108187578,13.700616638519,13.7148851261145,13.4671315589631,13.0821613133095,13.6645393881411,"1"
"AFFX-HSAC07/X00351_5_at","ACTB","protein_coding",11.849328314256,11.1220085826938,11.2141998549929,12.1567987072532,12.209241353029,12.3189428691675,10.8752356662152,10.6982683124276,12.9278343280065,10.9921462074615,11.8962822635468,10.8726350211512,11.7461333473749,12.3739304071352,11.1080276111453,12.1539934525098,11.8903292569857,12.7756353851228,12.2260433220874,12.0080149570272,12.1045820852423,12.6089373404314,12.6261459313786,12.5417542374534,11.7794132651645,11.7694135522506,11.1823490833906,12.1547841317534,12.1005465857922,11.6413161137342,11.7319591868384,10.7123060651969,11.3241497987144,11.1979597234088,11.5136860776376,11.7093662977441,11.9272828368673,12.0117404111591,12.1273340636129,11.9665679664417,11.7959048947837,11.4576259647495,11.5254864421069,11.2081547793146,11.6877497184091,11.4696293248817,12.292854619502,12.0018501296061,12.3427687219507,11.3499919271991,12.448205205785,12.3957903011552,11.7247370168967,11.1959455900732,12.2295454441402,"1"
